id,v,b_v,v_abs
50,7.62,0.6,4.452657722102068
118,7.74,0.58,4.572657722102068
2,7.78,0.62,4.612657722102068
88,7.78,0.54,4.612657722102068
52,7.8,0.6,4.632657722102068
162,7.84,0.71,4.672657722102068
73,7.85,0.61,4.682657722102068
10,7.85,0.59,4.682657722102068
39,7.86,0.68,4.692657722102068
143,7.9,0.53,4.7326577221020685
97,7.94,0.63,4.7726577221020685
106,7.96,0.67,4.792657722102068
158,8.03,0.61,4.8626577221020675
63,8.06,0.63,4.892657722102069
18,8.06,0.64,4.892657722102069
15,8.09,0.66,4.922657722102068
64,8.12,0.66,4.952657722102067
49,8.24,0.59,5.072657722102068
138,8.29,0.87,5.122657722102067
325,8.33,0.68,5.162657722102068
22,8.34,0.77,5.172657722102068
142,8.34,0.67,5.172657722102068
3,8.35,0.75,5.182657722102068
17,8.46,0.7,5.292657722102069
27,8.46,0.72,5.292657722102069
149,8.5,0.62,5.332657722102068
96,8.51,0.84,5.342657722102068
165,8.52,0.62,5.352657722102068
114,8.54,0.72,5.372657722102067
132,8.54,0.67,5.372657722102067
87,8.58,0.74,5.412657722102068
26,8.63,0.74,5.462657722102069
69,8.64,0.75,5.472657722102069
92,8.66,0.74,5.492657722102068
9,8.67,0.71,5.502657722102068
150,8.79,1.04,5.622657722102067
42,8.86,0.76,5.6926577221020676
110,8.86,0.69,5.6926577221020676
4,8.88,0.85,5.712657722102069
127,8.89,0.74,5.722657722102069
153,8.91,0.86,5.742657722102068
182,8.93,0.84,5.762657722102068
140,8.94,0.76,5.772657722102068
91,8.94,0.88,5.772657722102068
79,8.96,0.83,5.792657722102069
187,8.97,0.76,5.802657722102069
7,8.98,0.9,5.8126577221020685
135,8.98,0.89,5.8126577221020685
178,9.0,0.84,5.832657722102068
116,9.01,0.82,5.842657722102068
176,9.01,0.94,5.842657722102068
351,9.01,0.77,5.842657722102068
276,9.05,0.84,5.882657722102069
161,9.05,0.84,5.882657722102069
115,9.09,0.84,5.922657722102068
180,9.1,0.85,5.932657722102068
46,9.11,0.87,5.9426577221020676
21,9.15,0.82,5.9826577221020685
76,9.2,0.76,6.032657722102067
152,9.25,0.94,6.082657722102068
228,9.29,0.89,6.122657722102067
321,9.31,0.89,6.142657722102069
145,9.33,0.78,6.162657722102068
5,9.36,0.92,6.1926577221020676
99,9.38,0.85,6.212657722102069
43,9.4,0.91,6.2326577221020685
109,9.4,0.82,6.2326577221020685
93,9.4,0.88,6.2326577221020685
271,9.46,1.03,6.292657722102069
